run_id,timestamp,git_sha,backend,chunk_size,num_freqs,num_frames,stage,mean_ms,std_ms,min_ms,max_ms,pct_of_total,rt_margin
20260625_195224_GpuCWT_c16384_f116,2026-06-25 19:52:24,96936d0,GpuCWT,16384,116,27,init:pipeline,794.9253,0.0,794.9253,794.9253,,
20260625_195224_GpuCWT_c16384_f116,2026-06-25 19:52:24,96936d0,GpuCWT,16384,116,27,wait:next_chunk,174.7143,2.7037,162.2003,176.2542,,
20260625_195224_GpuCWT_c16384_f116,2026-06-25 19:52:24,96936d0,GpuCWT,16384,116,27,raw_cwt,5.4999,0.337,5.172,6.6097,51.48,
20260625_195224_GpuCWT_c16384_f116,2026-06-25 19:52:24,96936d0,GpuCWT,16384,116,27,normalize,0.0,0.0,0.0,0.0,0.0,
20260625_195224_GpuCWT_c16384_f116,2026-06-25 19:52:24,96936d0,GpuCWT,16384,116,27,magnitude,0.7471,0.1309,0.5995,1.0578,6.99,
20260625_195224_GpuCWT_c16384_f116,2026-06-25 19:52:24,96936d0,GpuCWT,16384,116,27,edge_trim,0.004,0.0014,0.0023,0.0068,0.04,
20260625_195224_GpuCWT_c16384_f116,2026-06-25 19:52:24,96936d0,GpuCWT,16384,116,27,hop_center,0.0068,0.0018,0.0043,0.0104,0.06,
20260625_195224_GpuCWT_c16384_f116,2026-06-25 19:52:24,96936d0,GpuCWT,16384,116,27,downsample,0.1167,0.0179,0.0933,0.1597,1.09,
20260625_195224_GpuCWT_c16384_f116,2026-06-25 19:52:24,96936d0,GpuCWT,16384,116,27,render,4.3084,2.6796,3.196,17.1596,40.33,
20260625_195224_GpuCWT_c16384_f116,2026-06-25 19:52:24,96936d0,GpuCWT,16384,116,27,TOTAL,10.6829,2.7358,9.1395,23.4122,100.0,17.388
20260625_195754_GpuCWT_c16384_f116,2026-06-25 19:57:54,96936d0,GpuCWT,16384,116,27,init:pipeline,839.1263,0.0,839.1263,839.1263,,
20260625_195754_GpuCWT_c16384_f116,2026-06-25 19:57:54,96936d0,GpuCWT,16384,116,27,wait:next_chunk,174.9395,1.97,166.107,176.2493,,
20260625_195754_GpuCWT_c16384_f116,2026-06-25 19:57:54,96936d0,GpuCWT,16384,116,27,raw_cwt,5.4938,0.2498,5.0945,6.0554,52.43,
20260625_195754_GpuCWT_c16384_f116,2026-06-25 19:57:54,96936d0,GpuCWT,16384,116,27,normalize,0.0,0.0,0.0,0.0,0.0,
20260625_195754_GpuCWT_c16384_f116,2026-06-25 19:57:54,96936d0,GpuCWT,16384,116,27,magnitude,0.683,0.119,0.5581,1.1365,6.52,
20260625_195754_GpuCWT_c16384_f116,2026-06-25 19:57:54,96936d0,GpuCWT,16384,116,27,edge_trim,0.0042,0.0025,0.0024,0.0153,0.04,
20260625_195754_GpuCWT_c16384_f116,2026-06-25 19:57:54,96936d0,GpuCWT,16384,116,27,hop_center,0.0061,0.0018,0.0045,0.0125,0.06,
20260625_195754_GpuCWT_c16384_f116,2026-06-25 19:57:54,96936d0,GpuCWT,16384,116,27,downsample,0.1045,0.0152,0.0756,0.1602,1.0,
20260625_195754_GpuCWT_c16384_f116,2026-06-25 19:57:54,96936d0,GpuCWT,16384,116,27,render,4.1872,2.0501,3.2863,13.7808,39.96,
20260625_195754_GpuCWT_c16384_f116,2026-06-25 19:57:54,96936d0,GpuCWT,16384,116,27,TOTAL,10.4787,2.0031,9.1979,19.5167,100.0,17.727
20260625_222123_GpuCWT_c16384_f116,2026-06-25 22:21:23,96936d0,GpuCWT,16384,116,27,init:pipeline,844.2184,0.0,844.2184,844.2184,,
